feed_id,uid,ptid,likes,comments,post_age,textlength,hashtags,latitude,longitude,urls,RankScore
409567,f0b9c41e-bc6a-4187-a720-02ec5ea18b37,f165dc1e8a944c7fac3007f7805ff463,85,34,158765,2062.0,1.0,14.331507,121.04767,5,4.5627228172269896e-30
409427,c704e0c9-af4c-47e4-940c-8dbd817e7526,67b639501f484141839179c7e0c049e6,67,22,159095,1934.0,6.0,7.004632000000001,79.954309,5,3.657424107224764e-30
408952,90f7a626-13e6-4e11-93c2-8c0863519a8f,7ae19268b69147d2a7acd86da3e37e29,21,0,160509,2952.0,0.0,35.725662,-0.582072,1,2.8867580049466685e-30
409429,3e748d57-a587-4bed-bc25-748c6d82c5cb,eb46f6e03bd24c7baa746a61d002a72c,50,7,159093,1020.0,30.0,13.367335,103.817741,1,1.9823676360235582e-30
409430,3e748d57-a587-4bed-bc25-748c6d82c5cb,100dc03ebf2b41ffafa49876899d3188,17,1,159092,1020.0,30.0,13.361775,103.86999399999999,1,1.974458774370653e-30
409231,e08a1af1-6153-4c4f-a995-e524cca28eaa,b959b92cdca241aea51f80f1d062b747,36,7,159524,1218.0,0.0,50.521663000000004,30.458057,1,1.9311474496158452e-30
409241,cb33536c-8614-46ac-8a7b-c52b917f4d70,fc06310d3fef470bbd68e393d9779e8b,22,4,159474,1143.0,0.0,27.727204999999998,85.310229,5,1.8270418924094093e-30
409559,817e6589-a2a0-48b1-b4e3-a884c3750ad5,5cc4733bbab24e28a2d59418c280b845,12,0,158799,767.0,0.0,39.344928,23.008627,1,1.7064895575025574e-30
409301,2ee9f32b-0c4a-4550-adee-6b4cbae66df5,2a186e7af61e48c98b9e25a7b5dd09f1,22,1,159323,934.0,27.0,-8.518037,115.262526,5,1.596362129467997e-30
409535,781ba52d-fe57-4210-ae0e-d82c2a2f234e,8375ebe8bac541cc948fbd72310fa7cd,28,3,158866,689.0,30.0,34.374665,73.471111,1,1.544138503797599e-30
409052,7829c604-3b2c-4e24-8793-4818b92191ed,74d38099879548d5b7200e000769cb28,20,5,160277,1004.0,3.0,26.156965,85.899512,1,1.112233824657383e-30
409398,30ebd843-d867-4dfd-94b9-175107a80c40,637c7e4bc16a49e7b2a04f09c3795dcc,26,8,159135,544.0,12.0,37.561661,126.965624,3,1.0808682284484548e-30
409435,2ee9f32b-0c4a-4550-adee-6b4cbae66df5,fe1a531fbd484df69aa502e795904044,19,2,159080,550.0,33.0,-8.518037,115.262526,1,1.0770807089473764e-30
409393,28e3d04d-009f-470d-8b60-43a485a54ae7,1fcb1ac31dbd456696e76deb54126eeb,42,6,159143,567.0,0.0,15.524000000000001,73.781729,1,1.0647492408075796e-30
409562,3dc48f10-4dfa-4635-825a-450d453d7ff5,77ed1055e123477fa96ee898aad3c2eb,15,0,158798,453.0,0.0,47.026223,-65.498417,1,1.048778567157097e-30
409262,cbcac1aa-3df7-4081-a7cd-6400ff994971,6fe67ab1ba2b4aeea469dd1066b60933,35,3,159397,561.0,36.0,50.033228,-125.271194,2,1.0288690223630701e-30
